"HolesCHZself_df","HolesCHZself_lambda","HolesS1CHZ_df","HolesS1CHZ_lambda","HolesS2CHZ_df","HolesS2CHZ_lambda","chewerCHZself_df","chewerCHZself_lambda","chewerS1CHZ_df","chewerS1CHZ_lambda","chewerS2CHZ_df","chewerS2CHZ_lambda","richnessCHZself_df","richnessCHZself_lambda","richnessS1CHZ_df","richnessS1CHZ_lambda","richnessS2CHZ_df","richnessS2CHZ_lambda","suckerCHZself_df","suckerCHZself_lambda","suckerS1CHZ_df","suckerS1CHZ_lambda","suckerS2CHZ_df","suckerS2CHZ_lambda"
49,0.08044218404883,58,0.0804427992797233,61,0.0804427992797233,87,0.0511024935651181,201,0.0511028844027506,146,0.0511028844027506,98,0.0410945624517459,305,0.0410948767475929,260,0.0421966843144922,111,0.0474823616287279,185,0.0474827247791831,162,0.0474827247791831
53,0.0767859626343179,59,0.0767865499020176,63,0.0767865499020176,90,0.0487798063641548,222,0.0487801794376137,163,0.0487801794376137,104,0.0392267511655074,331,0.0392270511761231,286,0.0402787798886452,113,0.0453242150113613,212,0.0453245616560679,182,0.0453245616560679
56,0.0732959221258814,64,0.0732964827013578,69,0.0732964827013578,96,0.0465626888811671,242,0.0465630449978615,194,0.0465630449978615,113,0.0374438347848929,362,0.0374441211595631,315,0.038448047178928,123,0.0432641594885041,253,0.0432644903776737,219,0.0432644903776737
61,0.069964509344866,70,0.0699650444413219,70,0.0699650444413219,101,0.0444463428095432,271,0.0444466827401842,219,0.0444466827401842,119,0.0357419547054202,392,0.0357422280639196,344,0.0367005240963071,134,0.041297736668523,277,0.0412980525182692,249,0.0412980525182692
69,0.0667845144162443,83,0.0667850251917404,78,0.0667850251917404,108,0.0424261879331122,303,0.042426512413381,253,0.042426512413381,121,0.0341174277021361,433,0.0341176886360698,380,0.0350324286348104,143,0.0394206908005654,299,0.0394209922944533,290,0.0394209922944533
75,0.063749055164936,86,0.0637495427248975,79,0.0637495427248975,113,0.0404978522135972,331,0.040498161945737,274,0.040498161945737,132,0.0325667379583457,469,0.0325669870324294,412,0.0334401506864741,151,0.0376289595642231,330,0.0376292473547484,316,0.0376292473547484
81,0.0608515622213398,95,0.0608520276209486,82,0.0608520276209486,118,0.0386571623286083,367,0.0386574579829443,294,0.0386574579829443,139,0.0310865294566492,512,0.0310867672099315,443,0.031920244228313,160,0.0359186652778197,351,0.0359189399878215,335,0.0359189399878215
86,0.0580857648038415,112,0.0580862090503198,94,0.0580862090503198,123,0.036900134639699,397,0.0369004168560891,318,0.0369004168560891,143,0.0296735987158172,546,0.0296738256628458,475,0.030469419864405,170,0.0342861065062958,389,0.0342863687303041,367,0.0342863687303041
90,0.0554456771475292,119,0.0554461012023194,103,0.0554461012023194,131,0.0352229665709386,445,0.0352232359601582,358,0.0352232359601582,144,0.0283248878577859,581,0.0283251044897218,516,0.0290845377069492,176,0.0327277500505279,418,0.0327280003560503,405,0.0327280003560503
91,0.0529255855497443,129,0.0529259903305898,120,0.0529259903305898,137,0.0336220283793408,490,0.0336222855244046,402,0.0336222855244046,150,0.027037477989769,618,0.0270376847754491,558,0.0277626005808913,181,0.0312402233007457,457,0.0312404622294958,451,0.0312404622294958
97,0.0505200360044323,145,0.0505204223873637,130,0.0505204223873637,143,0.0320938552993401,519,0.032094100756764,456,0.032094100756764,157,0.0258085828871623,657,0.0258087802741141,587,0.0265007475374087,177,0.0298203069374979,487,0.0298205350065675,481,0.0298205350065675
102,0.0482238223985311,176,0.048224191219762,140,0.048224191219762,151,0.0306351400443133,554,0.0306353743453184,504,0.0306353743453184,151,0.0246355429635698,689,0.02463573137898,618,0.0252962476622184,187,0.0284649279643708,536,0.0284651456673492,512,0.0284651456673492
110,0.0460319752448523,190,0.046032327302589,160,0.046032327302589,155,0.0292427256489185,587,0.0292429493005813,537,0.0292429493005813,156,0.0235158195149019,714,0.0235159993665409,652,0.0241464941653061,183,0.0271711530573804,557,0.0271713608654225,567,0.0271713608654225
112,0.0439397509270695,212,0.0439400869832387,177,0.0439400869832387,158,0.0279135986367605,612,0.0279138121231101,597,0.0279138121231101,167,0.0224469892250878,734,0.0224471609021923,680,0.0230489987392869,190,0.025936182216645,574,0.0259363805794908,601,0.0259363805794908
113,0.0419426214335396,229,0.0419429422154373,182,0.0419429422154373,168,0.0266448824985977,645,0.0266450862816631,634,0.0266450862816631,173,0.0214267389215124,754,0.0214269027956275,733,0.0220013861741869,184,0.0247573427065986,624,0.0247575320535469,635,0.0247575320535469
120,0.0400362645577368,256,0.0400365707596021,197,0.0400365707596021,165,0.0254338314669723,677,0.025434025987783,683,0.025434025987783,175,0.0204528605688257,795,0.0204530169946094,766,0.0210013892169911,195,0.0236320832716318,647,0.0236322640124691,677,0.0236322640124691
124,0.0382165545440925,266,0.0382168468286105,222,0.0382168468286105,169,0.0242778245737956,713,0.0242780102533352,705,0.0242780102533352,173,0.0195232464902923,810,0.0195233958062826,800,0.0200468436648334,197,0.02255796861464,684,0.0225581411405274,729,0.0225581411405274
127,0.0364795531589963,292,0.0364798321587319,264,0.0364798321587319,171,0.0231743599780233,744,0.0231745372181413,748,0.0231745372181413,172,0.0186358848063371,851,0.0186360273356852,838,0.0191356836812077,194,0.0215326741265307,716,0.0215328388108502,770,0.0215328388108502
133,0.0348215011676333,323,0.0348217674864003,294,0.0348217674864003,178,0.022121049551148,796,0.022121218735429,794,0.022121218735429,168,0.0177888550804168,883,0.0177889911315861,862,0.0182659373250659,199,0.0205539808552821,756,0.0205541380544451,796,0.0205541380544451
138,0.0332388101982126,368,0.0332390644123806,338,0.0332390644123806,177,0.0211156137087882,821,0.0211157752033826,835,0.0211157752033826,173,0.0169803241627928,908,0.0169804540302265,914,0.0174357222831234,201,0.0196197707036664,780,0.0196199207578849,834,0.0196199207578849
148,0.0317280549759795,382,0.0317282976357212,357,0.0317282976357212,175,0.0201558764771913,858,0.0201560306316071,870,0.0201560306316071,175,0.0162085422232116,946,0.01620866618797,965,0.0166432417961398,189,0.0187280218452439,803,0.0187281650792665,877,0.0187281650792665
149,0.030285965910203,414,0.030286197540685,404,0.030286197540685,176,0.0192397607839695,895,0.0192399079318292,910,0.0192399079318292,190,0.0154718389639048,979,0.0154719572942736,983,0.015886780770355,193,0.0178768043487066,836,0.0178769410725219,913,0.0178769410725219
152,0.0289094220180972,450,0.0289096431206163,436,0.0289096431206163,181,0.018365283962881,921,0.0183654244226434,952,0.0183654244226434,182,0.0147686200047157,1017,0.0147687329567867,1013,0.0151647020656673,199,0.0170642760011035,883,0.0170644065106103,958,0.0170644065106103
163,0.0275954441703603,505,0.0275956552234287,491,0.0275956552234287,181,0.0175305534629244,932,0.0175306875385738,1004,0.0175306875385738,191,0.0140973634325265,1040,0.0140974712507515,1039,0.0144754429525192,198,0.0162886783209049,917,0.0162888028985532,990,0.0162888028985532
169,0.0263411886437153,528,0.0263413901040959,536,0.0263413901040959,195,0.0167337627524622,982,0.0167338907341664,1010,0.0167338907341664,189,0.0134566165075191,1064,0.0134567194252394,1083,0.0138175117298237,197,0.0155483327522809,975,0.0155484516676828,1026,0.0155484516676828
176,0.0251439409664966,571,0.0251441332701921,563,0.0251441332701921,192,0.0159731874095081,1005,0.0159733095742463,1049,0.0159733095742463,202,0.0128449925191425,1093,0.0128450907590936,1120,0.01318948449661,212,0.0148416370323543,998,0.0148417505428677,1079,0.0148417505428677
178,0.0240011100439656,609,0.0240012936071613,594,0.0240012936071613,194,0.0152471813897162,1028,0.0152472980018785,1084,0.0152472980018785,196,0.0122611677849803,1091,0.012261261559774,1143,0.0125900020704042,214,0.014167061723569,1035,0.0141671700748543,1108,0.0141671700748543
182,0.0229102225506382,646,0.0229103977706034,619,0.0229103977706034,205,0.0145541734639966,1055,0.0145542847759562,1115,0.0145542847759562,204,0.0117038787860248,1129,0.0117039682986093,1171,0.0120177670456736,216,0.0135231469036657,1063,0.0135232503302179,1150,0.0135232503302179
182,0.0218689175774909,664,0.0218690848334382,660,0.0218690848334382,211,0.0138926638180466,1098,0.0138927700707058,1142,0.0138927700707058,206,0.0111719194321571,1166,0.0111720048762565,1214,0.0114715409859692,213,0.0129084990061053,1101,0.0129085977317612,1160,0.0129085977317612
182,0.0208749415224588,711,0.0208751011763651,704,0.0208751011763651,218,0.0132612208064381,1130,0.01326132222975,1163,0.01326132222975,210,0.0106641384519159,1201,0.0106642200124492,1263,0.0109501417436899,222,0.0123217878040987,1124,0.0123218820425211,1191,0.0123218820425211
187,0.0199261432131691,735,0.019926295610559,748,0.019926295610559,222,0.0126584778542373,1161,0.0126585746677031,1174,0.0126585746677031,209,0.0101794369009045,1220,0.0101795147543856,1288,0.0104524409016675,237,0.011761743531717,1146,0.0117618334868576,1230,0.0117618334868576
188,0.0190204692513532,774,0.0190206147220466,791,0.0190206147220466,231,0.0120831304994502,1199,0.0120832229125946,1216,0.0120832229125946,208,0.00971676578344489,1250,0.00971684009836515,1316,0.00997736133103576,231,0.0112271541358528,1184,0.0112272400023934,1271,0.0112272400023934
188,0.0181559595688631,800,0.0181560984276889,832,0.0181560984276889,234,0.0115339335698937,1186,0.0115340217827181,1260,0.0115340217827181,211,0.00927512378233183,1261,0.00927519471952427,1346,0.00952387486009765,234,0.0107168626530828,1228,0.0107169446168567,1311,0.0107169446168567
191,0.0173307431856729,824,0.0173308757331508,867,0.0173308757331508,236,0.0110096984883822,1235,0.0110097826917975,1302,0.0110097826917975,230,0.00885355509177232,1291,0.00885362280475989,1384,0.00909100004914665,249,0.010229764705757,1254,0.0102298429441509,1346,0.0102298429441509
194,0.0165430341606867,855,0.0165431606836771,926,0.0165431606836771,239,0.0105092907003973,1268,0.0105093710766375,1322,0.0105093710766375,228,0.0084511473488218,1313,0.00845121198414957,1395,0.00867780006642559,250,0.00976480611189407,1257,0.00976488079423218,1364,0.00976488079423218
208,0.0157911277265875,875,0.0157912484989127,941,0.0157912484989127,239,0.0100316272186748,1285,0.0100317039416908,1359,0.0100317039416908,230,0.0080670296588396,1356,0.00806709135639197,1402,0.00828338066062651,246,0.00932098060371053,1302,0.00932105189162111,1376,0.00932105189162111
212,0.015073396600364,909,0.0150735118834006,990,0.0150735118834006,251,0.00957567427939291,1324,0.00957574751522943,1397,0.00957574751522943,235,0.00770037071069058,1379,0.00770042960399397,1434,0.00790688822554352,249,0.00889732764984678,1329,0.0088973956976118,1403,0.0088973956976118
215,0.0143882874615291,935,0.0143883975047739,1000,0.0143883975047739,246,0.00914044510489092,1385,0.00914051501204565,1415,0.00914051501204565,234,0.00735037697761368,1415,0.00735043319412555,1440,0.00754750795269019,251,0.00849293037657591,1361,0.00849299533146499,1442,0.00849299533146499
215,0.0137343175904095,972,0.0137344226320189,1038,0.0137344226320189,246,0.00872499776807585,1414,0.0087250644978425,1443,0.0087250644978425,240,0.00701629099986382,1456,0.00701634466124846,1457,0.00720446206788334,246,0.00810691358349694,1408,0.00810697558608606,1475,0.00810697558608606
224,0.0131100716592288,1000,0.013110171926535,1084,0.013110171926535,247,0.00832843315389475,1397,0.00832849685069052,1480,0.00832849685069052,238,0.00669738974541032,1487,0.00669744096780221,1477,0.00687700814797677,250,0.00773844184941786,1424,0.00773850103389362,1481,0.00773850103389362
221,0.0125141986690429,1021,0.0125142943790453,1120,0.0125142943790453,258,0.00794989301346148,1446,0.00794995381513958,1546,0.00794995381513958,250,0.00639298304514422,1521,0.00639303193939934,1514,0.00656443751410208,272,0.00738671772432917,1418,0.00738677421877916,1520,0.00738677421877916
228,0.0119454090258945,1039,0.0119455003857296,1119,0.0119455003857296,263,0.00758855810662636,1487,0.00758861614477435,1561,0.00758861614477435,254,0.00610241209920769,1524,0.00610245877114345,1533,0.00626607369793919,255,0.00705098000355503,1440,0.00705103393024508,1557,0.00705103393024508
230,0.0114024717498619,1080,0.0114025589572515,1153,0.0114025589572515,259,0.00724364642896884,1526,0.00724370182919343,1596,0.00724370182919343,265,0.0058250480512132,1554,0.00582509260183746,1548,0.00598127097769717,267,0.0067305020803469,1512,0.00673055355598566,1580,0.00673055355598566
234,0.0108842118109609,1121,0.01088429505464,1200,0.01088429505464,265,0.00691441151937621,1560,0.00691446440157509,1641,0.00691446440157509,272,0.00556029062726658,1598,0.00556033315299621,1611,0.00570941298063705,259,0.0064245903733544,1530,0.00642463950934593,1608,0.00642463950934593
230,0.0103895075861332,1134,0.0103895870462586,1196,0.0103895870462586,269,0.00660014084454537,1584,0.0066001913231667,1659,0.0066001913231667,268,0.00530756683684858,1598,0.00530760742971816,1618,0.00544991134911214,258,0.00613258282556992,1542,0.0061326297282548,1622,0.0061326297282548
227,0.00991728843181988,1160,0.00991736428035996,1222,0.00991736428035996,274,0.00630015425691152,1588,0.0063002024412016,1697,0.0063002024412016,263,0.00506632973274334,1651,0.00506636848060436,1655,0.00520220446723881,287,0.00585384747149864,1536,0.00585389224238411,1638,0.00585389224238411
229,0.00946653236686393,1196,0.0094666047679708,1254,0.0094666047679708,276,0.00601380252266637,1583,0.0060138485169061,1729,0.0060138485169061,273,0.00483605722733012,1670,0.00483609421404105,1694,0.0049657562454421,272,0.0055877810694528,1565,0.00558782380543243,1660,0.00558782380543243
233,0.00903626386072926,1226,0.00903633297109409,1294,0.00903633297109409,292,0.00574046591668023,1625,0.00574050982041078,1757,0.00574050982041078,270,0.00461625096267628,1710,0.00461628626828411,1734,0.00474005496024562,265,0.00533380779601038,1589,0.00533384858957378,1684,0.00533384858957378
245,0.00862555172224822,1247,0.00862561769144031,1299,0.00862561769144031,282,0.00547955288128697,1656,0.00547959478952521,1790,0.00547959478952521,272,0.00440643523198634,1726,0.00440646893289981,1759,0.00452461214679473,277,0.00509137799981257,1653,0.00509141693924556,1708,0.00509141693924556
233,0.00823350708432887,1261,0.00823357005511936,1333,0.00823357005511936,293,0.00523049874602939,1687,0.00523053874947352,1794,0.00523053874947352,270,0.0042061559500729,1753,0.00420618811922784,1781,0.0043189615417163,271,0.00485996701200311,1690,0.00486000418157876,1761,0.00486000418157876
239,0.0078592814802604,1306,0.00785934158893128,1376,0.00785934158893128,301,0.00499276450559401,1717,0.00499280269081987,1812,0.00499280269081987,269,0.00401497967062107,1803,0.00401501037763827,1820,0.00412265807402711,300,0.00463907401073499,1740,0.00463910949089607,1808,0.00463910949089607
240,0.0075020650074535,1323,0.00750212238409252,1406,0.00750212238409252,302,0.00476583565329075,1771,0.00476587210293916,1807,0.00476587210293916,291,0.00383249264811998,1835,0.00383252195945586,1848,0.00393527690190702,289,0.00442822093728711,1771,0.00442825480482011,1822,0.00442825480482011
253,0.00716108457464149,1336,0.00716113934342371,1434,0.00716113934342371,310,0.00454922106755263,1804,0.00454925586050826,1837,0.00454925586050826,288,0.00365829994243076,1851,0.00365832792152118,1859,0.00375641249325231,289,0.00422695146144503,1808,0.00422698378964639,1852,0.00422698378964639
247,0.0068356022287489,1359,0.00683565450820544,1486,0.00683565450820544,301,0.00434245194904586,1854,0.00434248516060797,1846,0.00434248516060797,290,0.00349202456405336,1885,0.00349205127145094,1899,0.00358567774801923,290,0.00403482999390684,1799,0.00403486085274155,1874,0.00403486085274155
246,0.00652491355780645,1405,0.00652496346108102,1498,0.00652496346108102,307,0.0041450808060899,1874,0.00414511250813525,1842,0.00414511250813525,290,0.00333330665824234,1929,0.00333333215174749,1915,0.00342270316045843,296,0.00385144074357665,1859,0.0038514701998297,1882,0.0038514701998297
257,0.00622834616645603,1427,0.00622839380154974,1522,0.00622839380154974,320,0.0039566804861917,1877,0.00395671074733017,1885,0.00395671074733017,296,0.00318180272620585,1975,0.00318182706099184,1939,0.00326713601942718,305,0.0036763868177056,1893,0.00367641493512648,1887,0.00367641493512648
267,0.00594525822074625,1459,0.00594530369075144,1543,0.00594530369075144,326,0.00377684325159829,1897,0.0037768721373213,1913,0.0037768721373213,306,0.00303718488170221,2054,0.00303720811043462,1972,0.0031186396450485,295,0.00350928936293279,1821,0.0035093162023735,1909,0.0035093162023735
254,0.00567503705906941,1502,0.00567508046239269,1604,0.00567508046239269,340,0.00360517989686681,1928,0.00360520746968913,1957,0.00360520746968913,301,0.0028991401414255,2060,0.00289916231437617,2039,0.00297689266006546,313,0.00334978674536729,1864,0.00334981236491399,1951,0.00334981236491399
267,0.00541709786623342,1544,0.00541713929680867,1618,0.00541713929680867,334,0.00344131890654248,2010,0.00344134522613748,2007,0.00344134522613748,296,0.00276736974764408,2138,0.00276739091279992,2079,0.00284158829431343,326,0.00319753376793661,1935,0.00319755822303538,1994,0.00319755822303538
270,0.00517088240779923,1567,0.00517092195529089,1637,0.00517092195529089,329,0.00328490565112132,2025,0.0032849307744501,2041,0.0032849307744501,297,0.0026415885216263,2181,0.00264160872479315,2132,0.00271243372080521,322,0.00305220092330799,1943,0.00305222426688478,2040,0.00305222426688478
283,0.00493585782194458,1622,0.00493589557194171,1678,0.00493589557194171,323,0.00313560161955759,2040,0.00313562560099231,2072,0.00313562560099231,314,0.002521524246454,2213,0.00252154353135574,2172,0.00258914942199213,317,0.00291347368076547,1925,0.00291349596334066,2059,0.00291349596334066
277,0.00471151546623944,1634,0.00471155150044094,1684,0.00471155150044094,316,0.00299308368665504,2144,0.00299310657809654,2109,0.00299310657809654,311,0.00240691707788806,2184,0.00240693548626125,2199,0.00247146858482947,333,0.00278105180549955,1929,0.00278107307529731,2128,0.00278107307529731
279,0.00449736981683722,1662,0.00449740421322865,1724,0.00449740421322865,318,0.00285704341375629,2087,0.00285706526474644,2109,0.00285706526474644,317,0.00229751898201106,2279,0.00229753655369528,2196,0.00235913652333718,334,0.0026546487088362,1942,0.00265466901188883,2149,0.00265466901188883
285,0.00429295741769949,1680,0.00429299025072184,1709,0.00429299025072184,317,0.00272718638121692,2186,0.00272720723904585,2117,0.00272720723904585,304,0.00219309319842993,2294,0.00219310997145398,2262,0.00225191012740607,333,0.00253399082799893,1991,0.00253401020824648,2204,0.00253401020824648
293,0.00409783587758002,1749,0.00409786721829083,1744,0.00409786721829083,315,0.00260323155121978,2202,0.00260325146102819,2166,0.00260325146102819,309,0.00209341372787685,2363,0.00209342973854107,2355,0.00214955733665662,351,0.00241881703406162,2045,0.00241883553344701,2261,0.00241883553344701
302,0.0039115829125975,1780,0.00391161282882464,1810,0.00391161282882464,316,0.00248491065955024,2262,0.00248492966442713,2189,0.00248492966442713,314,0.00199826484309955,2454,0.00199828012605437,2399,0.0020518566382117,341,0.00230887806681087,2069,0.00230889572537065,2297,0.00230889572537065
295,0.00373379543232474,1836,0.00373382398881319,1804,0.00373382398881319,317,0.00237196763501622,2292,0.00237198577609212,2211,0.00237198577609212,329,0.00190744062198227,2440,0.00190745521030321,2403,0.00195859658729631,355,0.00220393599529468,2057,0.00220395285124566,2331,0.00220395285124566
303,0.00356408866741659,1845,0.00356411592596856,1841,0.00356411592596856,323,0.00226415804525655,2373,0.00226417536179256,2226,0.00226417536179256,330,0.00182074450188727,2481,0.0018207584271465,2484,0.00186957534962683,357,0.00210376370289,2113,0.00210377979271199,2392,0.00210377979271199
296,0.00340209533688844,1883,0.00340212135649715,1903,0.00340212135649715,323,0.00216124856773812,2358,0.00216126509721084,2229,0.00216126509721084,323,0.00173798885425201,2461,0.00173800214658672,2502,0.0017846002645993,355,0.00200814439577483,2114,0.00200815975428959,2386,0.00200815975428959
302,0.00324746485324328,1944,0.00324748969022062,1898,0.00324748969022062,323,0.00206301648479702,2433,0.00206303226297969,2285,0.00206303226297969,320,0.00165899457852173,2564,0.00165900726669931,2562,0.00170348742833156,365,0.00191687113374098,2169,0.00191688579418753,2410,0.00191688579418753
303,0.00309986256372692,1968,0.00309988627182531,1917,0.00309988627182531,335,0.00196924920163092,2518,0.00196926426267084,2305,0.00196926426267084,323,0.00158359071453827,2619,0.0015836028260186,2609,0.00162606129565673,396,0.00182974638233207,2223,0.0018297603764387,2466,0.0018297603764387
311,0.00295896902606933,1990,0.00295899165659806,1953,0.00295899165659806,329,0.00187974378619934,2592,0.00187975816269175,2357,0.00187975816269175,321,0.00151161407254651,2673,0.00151162563354137,2728,0.00155215430020667,372,0.00174658158533765,2255,0.00174659494339054,2430,0.00174659494339054
320,0.00282447931714465,2042,0.00282450091908092,1945,0.00282450091908092,346,0.00179430653003625,2627,0.0017943202530949,2426,0.0017943202530949,326,0.00144290888001758,2682,0.00144291991554738,2743,0.00148160649176331,374,0.00166719675671804,2333,0.0016672095076268,2518,0.0016672095076268
327,0.0026961023730537,2086,0.00269612299314863,1911,0.00269612299314863,365,0.00171275252902436,2709,0.00171276562834881,2467,0.00171276562834881,337,0.00137732644452444,2727,0.00137733697847238,2696,0.00141426519009282,386,0.00159142009107682,2403,0.0015914322624371,2623,0.0015914322624371
328,0.00257356035920071,2132,0.00257358004208051,2008,0.00257358004208051,359,0.00163490528322385,2788,0.00163491778716379,2504,0.00163491778716379,330,0.00131472483194033,2852,0.00131473488710408,2767,0.00134998465451366,386,0.00151908759183801,2494,0.00151909920999119,2670,0.00151909920999119
341,0.00245658806900112,2105,0.00245660685726365,2068,0.00245660685726365,368,0.00156059631488961,2732,0.00156060825050618,2642,0.00156060825050618,324,0.00125496855926364,2798,0.00125497815740467,2898,0.00128862576848317,390,0.00145004271632312,2523,0.0014500538064133,2713,0.0014500538064133
338,0.00234493234991889,2099,0.00234495028422589,2132,0.00234495028422589,367,0.00148966480385002,2774,0.00148967619697439,2670,0.00148967619697439,330,0.00119792830140423,2893,0.00119793746329494,3027,0.00123005573852028,400,0.00138413603695996,2558,0.00138414662298843,2761,0.00138414662298843
342,0.00223835155559149,2153,0.00223836867475655,2162,0.00223836867475655,369,0.00142195723945849,2882,0.00142196811474778,2691,0.00142196811474778,330,0.00114348061129694,2884,0.00114348935676558,3123,0.00117414780681257,406,0.00132122491789016,2597,0.0013212350227673,2737,0.0013212350227673
330,0.00213661502285647,2183,0.00213663136392906,2228,0.00213663136392906,380,0.00135732708836422,3006,0.00135733746935483,2728,0.00135733746935483,334,0.00109150765273622,2954,0.00109151600070982,3081,0.00112078097688581,415,0.00126117320627521,2665,0.00126118285187009,2835,0.00126118285187009
343,0.00203950257254813,2219,0.00203951817089376,2219,0.00203951817089376,408,0.00129563447738337,2963,0.00129564438654193,2813,0.00129564438654193,340,0.00104189694535394,2989,0.00104190491389925,3188,0.0010698397517423,415,0.00120385093763326,2790,0.00120386014482096,2945,0.00120386014482096
345,0.00194680403298366,2273,0.0019468189223604,2337,0.0019468189223604,423,0.00123674589078416,3002,0.00123675534955617,2873,0.00123675534955617,342,0.000994541121188286,3067,0.000994548727550913,3190,0.00102121388390109,408,0.00114913405456873,2896,0.00114914284327554,2998,0.00114914284327554
