"","CHR","POSITION","IHS","LOGPVALUE"
"29497","4",144681,-0.141031722685389,0.0516629046036016
"29511","4",144730,-2.14547998013272,1.49601208571707
"29538","4",144793,1.71453743336355,1.06333514375258
"29550","4",144819,2.21621313415404,1.57386449611818
"29551","4",144820,NA,NA
"29593","4",144924,1.09092676890217,0.560185732022309
"29608","4",144956,NA,NA
"29644","4",144992,NA,NA
"29661","4",145041,2.19845195792802,1.55413258279096
"29671","4",145098,2.01341740908945,1.35584969993251
"29679","4",145132,NA,NA
"29684","4",145151,-1.45207545719089,0.834219814811744
"29689","4",145157,1.30574886422145,0.717518427237122
"29691","4",145159,NA,NA
"29734","4",145365,NA,NA
"29755","4",145408,1.02159315161747,0.512899113625487
"29760","4",145441,0.616186250416585,0.269402135169057
"29781","4",145519,0.616186250416584,0.269402135169057
"29797","4",145579,0.250046672132677,0.0955272214644574
"29816","4",145616,1.1713957257927,0.617191228121337
"29830","4",145676,0.711036342107101,0.321425434342114
"29876","4",145828,-0.620936803559685,0.271937573297995
"29883","4",145851,1.38368688488204,0.778704847897342
"29927","4",146070,-0.631841034472408,0.277785145922921
"29942","4",146086,-0.549698780027299,0.234684690564246
"29964","4",146151,1.26885761879326,0.689323995328252
"29995","4",146293,NA,NA
"30008","4",146321,1.38217169948157,0.77749425832364
"30016","4",146351,-1.07346417244902,0.548117040151959
"30072","4",146556,-0.406325433716231,0.164624326856659
"30182","4",146801,0.733678079891718,0.334283056540426
"30184","4",146803,0.851128654866826,0.403735196057168
"30194","4",146832,0.0522483782824242,0.0184845604264432
"30223","4",146889,0.0522483782824242,0.0184845604264432
"30243","4",146942,-0.165436110206427,0.0611798082761529
"30244","4",146943,0.241868643123734,0.0921148567276821
"30246","4",146945,0.241868643123734,0.0921148567276821
"30247","4",146946,0.241868643123734,0.0921148567276821
"30250","4",146949,0.241868643123734,0.0921148567276821
"30252","4",146951,0.241868643123734,0.0921148567276821
"30255","4",146954,0.241868643123734,0.0921148567276821
"30261","4",146983,0.241868643123734,0.0921148567276821
"30263","4",146988,0.241868643123734,0.0921148567276821
"30316","4",147135,0.241868643123734,0.092114856727682
"30324","4",147152,0.241868643123734,0.092114856727682
"30328","4",147176,0.241868643123734,0.092114856727682
"30620","4",148427,0.217861332343026,0.0822124976248557
"30661","4",149021,-0.235864293280565,0.0896221691374168
"30701","4",149783,-0.606915230178466,0.264475215937981
"30706","4",149788,-0.606915230178466,0.264475215937981
"30782","4",150514,0.393691384877539,0.15876013178588
"30820","4",150721,-0.163501118965039,0.0604189061537951
"30832","4",150826,-0.558291080758432,0.23909099146463
"30844","4",150868,-0.558291080758432,0.23909099146463
"30874","4",151079,0.694689793047274,0.312248396433427
"30971","4",151528,0.589780983086152,0.255443004064968
"31113","4",152073,-0.0585602365548858,0.0207693213873272
"31126","4",152160,-0.365452707718048,0.145831555497621
"31133","4",152229,-0.550273552798541,0.234978704900992
"31161","4",152292,-0.550273552798541,0.234978704900992
"31173","4",152352,-0.325774217572673,0.128079775410681
"31176","4",152355,-0.325774217572673,0.128079775410681
"31219","4",152580,-0.256562762417562,0.0982604186891486
"31227","4",152604,-0.116479397679375,0.0422621984671966
"31353","4",153788,-1.0324968724596,0.520224053797539
"31491","4",154486,0.736106715467859,0.335672337759626
"31495","4",154495,1.62067626730137,0.978450650376625
"31523","4",154529,-1.42404773525655,0.811260864144702
"31530","4",154545,NA,NA
"31543","4",154586,-0.165767078863228,0.0613100653002233
"31570","4",154711,1.12431855274424,0.583562692691952
"31828","4",156659,-1.42466663921929,0.811764728372787
"31892","4",157543,NA,NA
"31906","4",157620,-0.0314241780234563,0.0110260045244547
"31908","4",157624,0.41708807752752,0.169659029853145
"31948","4",158013,1.40316757287857,0.7943440453605
"31949","4",158019,0.0428928560231209,0.0151186700994271
"32186","4",158954,-0.239207696376948,0.0910088485636385
"32190","4",158958,-0.38956888687851,0.156857353508198
"32327","4",159219,NA,NA
"32496","4",159838,-0.440030144373451,0.180511819072451
"32593","4",160505,-0.15236331507869,0.0560603430408041
"32680","4",161441,-0.786918061829001,0.365190502214402
"32700","4",161698,-0.294318205280925,0.114347785606203
"32754","4",162102,NA,NA
"32755","4",162103,-0.706136717505038,0.31866547191576
"32908","4",162876,-0.683019182277383,0.305750522922524
"33116","4",163335,-0.521727763012757,0.220504597465844
"33492","4",166357,0.426810374905986,0.174238099788019
"33607","4",166823,NA,NA
"33636","4",166864,0.256224012664036,0.0981180161141811
"33681","4",167028,-0.0235944370044875,0.0082530348838872
"33709","4",167336,0.560731945139197,0.240347045118897
"33712","4",167417,NA,NA
"33715","4",167453,0.534633400706002,0.227016071949615
"33716","4",167471,-0.496509083896326,0.207933957317274
"34004","4",168558,-0.401469427524617,0.162364509885465
"34007","4",168561,-0.401469427524617,0.162364509885465
"34074","4",168927,0.0200414690669289,0.00700035930090273
"34098","4",169016,-0.84677048679884,0.401074892095057
"34223","4",169830,-0.416417469036908,0.16934426930207
"34359","4",170508,-0.624169855902187,0.273667305273323
"34373","4",170599,1.44003602969255,0.824322369365378
"34481","4",171319,0.082828317888675,0.0296586793950545
"34663","4",171923,1.26447491325066,0.686007106562676
"34834","4",172373,-0.70322154020679,0.317027124791279
"34836","4",172412,-1.58298651919421,0.945292984685675
"34846","4",172564,-1.40247936498321,0.793789185139701
"34861","4",172582,1.97120971224117,1.31247198875341
"34884","4",172605,1.97120971224117,1.31247198875341
"34904","4",172635,0.512767802279942,0.216015173198184
"34939","4",172866,-1.69789179363835,1.04804021302543
"34965","4",173084,-1.05081822191663,0.532625625289443
"34981","4",173100,2.0443308347573,1.38805508796268
"35053","4",173476,0.205818692481452,0.0773095467715107
"35066","4",173539,0.517022438573758,0.218143783670443
"35075","4",173578,0.517022438573758,0.218143783670443
"35079","4",173599,0.766561145509713,0.35326064956353
"35140","4",173886,1.26454482549894,0.686059962764158
"35147","4",173904,0.718997723425323,0.325927068082328
"35166","4",173975,1.88173600243663,1.22277718504845
"35175","4",173984,-0.931168537086413,0.453745657883135
"35181","4",173990,-0.0949038819407746,0.0341442102004507
"35192","4",174001,0.873780962326933,0.417666651247537
"35335","4",174228,-0.792111139329012,0.36825610787294
"35345","4",174257,NA,NA
"35370","4",174310,-0.754754885470982,0.346405409815573
"35381","4",174339,-0.744225937772032,0.340331143860939
"35398","4",174366,0.79706357712982,0.371188111290963
"35417","4",174420,0.79706357712982,0.371188111290963
"35460","4",174522,0.79706357712982,0.371188111290963
"35505","4",174696,-0.117895524477863,0.0427996945896973
"35519","4",174783,1.20623936374791,0.64258888850891
"35552","4",174979,0.195723844267403,0.0732325642757826
"35739","4",175744,0.0922151419445493,0.0331418698322041
"35783","4",175788,-1.00072455971493,0.498995554937432
"35791","4",175816,1.11811472090275,0.579189714277736
"35886","4",176359,0.264020065333647,0.101403997856014
"35900","4",176373,0.509184238745024,0.214226777588154
"35980","4",176756,NA,NA
"36052","4",177277,0.729748188295983,0.33203915441122
"36086","4",178108,NA,NA
"36126","4",178538,-0.824185098434772,0.387391598952314
"36174","4",178820,-0.826487132414291,0.38877836940098
"36188","4",178850,-1.25235794781863,0.676872816652329
"36241","4",179189,0.276711488798809,0.106792330905378
"36328","4",179593,-0.00911187117507611,0.00316890649023381
"36423","4",179995,0.193360147590626,0.072282276655195
"36438","4",180056,1.55326497665633,0.919518384544746
"36452","4",180087,1.25266296294841,0.677102102068322
"36455","4",180103,1.6082271217785,0.96743988011993
"36457","4",180110,1.56906828463402,0.933182169685339
"36459","4",180112,1.56906828463402,0.933182169685338
"36550","4",180330,0.731268942280832,0.332906869605514
"36566","4",180362,0.922390922570989,0.448154068257743
"36599","4",180882,0.922390922570989,0.448154068257743
"36613","4",180987,0.922390922570989,0.448154068257743
"36646","4",181303,1.24125272474206,0.668547592167396
"36674","4",181484,-0.755970690708795,0.347109206622262
"36720","4",181599,1.63011486987654,0.986837296413658
"36768","4",181769,-0.572655783457937,0.246510564695116
"36775","4",181803,1.75790397489394,1.10367306690506
"36835","4",182174,-0.862136769009292,0.410483502427219
"36836","4",182175,-0.862136769009292,0.410483502427219
"36920","4",182446,-0.794508767073152,0.369674550038373
"36946","4",182516,-0.840433487713921,0.397218182167814
"36953","4",182524,-0.840433487713921,0.397218182167814
"36971","4",182645,-0.840433487713921,0.397218182167814
"36973","4",182647,-0.840433487713921,0.397218182167814
"36979","4",182656,-0.84043348771392,0.397218182167814
"37024","4",182792,-0.840433487713921,0.397218182167814
"37035","4",182855,-0.84043348771392,0.397218182167814
"37038","4",182869,-0.719954483575585,0.326469468871004
"37066","4",182918,-1.13964900105439,0.594427308914664
"37072","4",182927,1.67267704622202,1.02506991752478
"37083","4",182941,-1.27372991236319,0.693019534500354
"37164","4",183091,1.66146902870945,1.01493618448402
"37165","4",183092,-1.10353870925829,0.568968854162876
"37169","4",183096,-1.15634466884824,0.606354255267341
"37182","4",183129,-1.15634466884824,0.606354255267341
"37183","4",183130,-1.15634466884824,0.606354255267341
"37190","4",183142,-1.15634466884824,0.606354255267341
"37248","4",183272,-0.678136410789883,0.303045268330879
"37271","4",183544,-0.678136410789883,0.303045268330879
"37306","4",183714,1.31109855432816,0.721647806001516
"37368","4",183836,-0.953056641012166,0.467804611693665
"37380","4",183886,-0.953056641012166,0.467804611693665
"37428","4",184086,0.553731802572663,0.236749948649757
"37445","4",184161,1.00906946835406,0.504537090870874
"37448","4",184203,1.00906946835406,0.504537090870874
"37451","4",184210,1.00906946835406,0.504537090870874
"37456","4",184245,-0.598583532421418,0.260071316305939
"37517","4",184654,0.0851329927672769,0.0305115585679808
"37525","4",184737,-0.305313731815983,0.119113716078459
"37599","4",185016,0.486903299569048,0.203198962830258
"37619","4",185141,NA,NA
"37670","4",185873,-0.374388872047539,0.149896193102516
"37720","4",186135,1.49085373903945,0.866461413470772
"37774","4",186695,0.588055376281384,0.254538636632661
"37812","4",186978,0.827698573628612,0.38950887514248
"37813","4",186979,0.827698573628612,0.38950887514248
"37833","4",187049,0.827698573628612,0.38950887514248
"37862","4",187760,NA,NA
"37879","4",187924,-0.608037800372761,0.265070298519165
"37905","4",188210,1.40704975680702,0.797477259415195
"37909","4",188221,0.0712353783304793,0.02539140772879
"37922","4",188493,-0.85405889674537,0.405527497292551
"38090","4",190299,0.144971218243544,0.0531874808441275
"38311","4",191384,-0.950615655941854,0.466228553839762
"38422","4",191964,0.71003420790847,0.320860283944639
"38423","4",191966,0.71003420790847,0.320860283944639
"38441","4",192124,-1.56869505647336,0.932858400826345
"38519","4",192277,0.252545438153855,0.0965738377747275
"38526","4",192284,1.14837142917059,0.600646038516163
"38532","4",192290,-1.75568632715443,1.10159307375458
"38549","4",192347,0.233979882759588,0.0888420734280692
"38565","4",192413,-0.570662115668392,0.245476831870587
"38572","4",192439,0.146102813532569,0.0536262366945704
"38578","4",192460,1.42148008259988,0.809171977287105
"38595","4",192510,0.314158840303815,0.122974152466364
"38634","4",192555,0.351261755495507,0.139427248043319
"38635","4",192556,0.351261755495507,0.139427248043319
"38684","4",192624,1.89524013017776,1.23611851162877
"38740","4",192689,-0.396410453829522,0.16001802644797
"38752","4",192705,-0.657615046571731,0.291761419827952
"38776","4",192744,0.216497078024727,0.0816549124591947
"38818","4",192833,-0.612668875349855,0.267529596692899
"38841","4",192885,1.78282549034627,1.1271755155744
"38873","4",192930,1.46828286119826,0.847627849702491
"38885","4",192953,1.46828286119826,0.847627849702491
"39014","4",193270,0.0988031248852937,0.0356014803369751
"39079","4",193445,-1.44560079563853,0.828890467909922
"39135","4",193784,-0.502523664768815,0.210913642321389
"39452","4",195131,-0.573305776413134,0.246847868522677
"39453","4",195132,-0.573305776413134,0.246847868522677
"39455","4",195141,-0.573305776413134,0.246847868522677
"39458","4",195147,-0.573305776413134,0.246847868522677
"39507","4",195281,-0.573305776413134,0.246847868522677
"39537","4",195361,0.0620227151029468,0.0220274357811392
"39542","4",195370,0.0620227151029468,0.0220274357811392
"39548","4",195390,0.0620227151029468,0.0220274357811392
"39580","4",195618,NA,NA
"39588","4",195726,-0.476033777019915,0.197876277716644
"39708","4",196786,NA,NA
"39716","4",196856,NA,NA
"39738","4",196878,0.613382415049081,0.267909136936452
"39861","4",198047,-0.536643896702229,0.228035253727663
"39864","4",198050,0.647104218065128,0.286035523525777
"39884","4",198245,0.647104218065128,0.286035523525777
"39939","4",198758,-0.735955342064294,0.335585688421273
"39948","4",198767,-0.735955342064294,0.335585688421273
"39983","4",198952,0.383249252295953,0.153950680022624
"39988","4",198971,-0.829090178723857,0.390348633887218
"40003","4",199018,1.10995447669761,0.573458414365882
"40051","4",199170,-0.474840344609332,0.197294143254834
"40084","4",199238,-0.673035072356796,0.300227311823378
"40204","4",199747,-0.523201724269016,0.221245584991693
"40210","4",199801,-0.523201724269016,0.221245584991693
"40212","4",199803,-0.523201724269016,0.221245584991693
"40214","4",199805,-0.523201724269016,0.221245584991693
"40225","4",199853,-0.578823228397224,0.249716558470704
"40245","4",199920,-0.578823228397224,0.249716558470704
"40248","4",199923,-0.578823228397224,0.249716558470704
"40255","4",199969,-0.514250563356007,0.216756349129662
"40270","4",200026,-0.573009872431997,0.246694296804306
"40298","4",200161,1.3664329031803,0.764968935093394
"40303","4",200193,-0.96474719229868,0.475381332537316
"40305","4",200212,-0.96474719229868,0.475381332537316
"40316","4",200228,-0.96474719229868,0.475381332537316
"40337","4",200288,-0.982860140661733,0.487213874438422
"40523","4",201840,1.06846087263066,0.544678940446724
"40547","4",201958,1.38341862747439,0.778490456903098
"40590","4",202037,0.667857939571615,0.297376247295875
"41136","4",204634,-0.553833910313067,0.236802304526457
"41365","4",205451,0.392974002322957,0.158428638627769
"41553","4",206711,-0.590021478448799,0.255569121024167
"41932","4",208650,0.533983088016166,0.226686685583402
"42311","4",209685,0.531678762793691,0.225520623724324
"42317","4",209691,-0.629090765597365,0.276306610095705
"42606","4",210306,NA,NA
"43249","4",212128,0.529595052000201,0.224467662337541
"43290","4",212264,0.658296344718371,0.292133815737709
"43300","4",212293,0.10703417138732,0.0386919460841141
"43376","4",212546,0.145289501595734,0.0533108520261845
"43665","4",213561,-0.143075192343248,0.052453162076624
"44043","4",215681,-0.728600899256796,0.331385041007377
"44120","4",216515,2.08261054549142,1.42844561820825
"44150","4",216839,-0.0994374968898572,0.0358389757144324
"44180","4",217251,2.40642290223753,1.79291513635695
"44326","4",217986,0.406708295729424,0.16480280923242
