name_i,name_j,geno_i,geno_j,relativeDam_i
Ag-0,Kondara,6897,6929,-13.0469629799142
Ag-0,Kyoto,6897,7207,-7.34241456026034
Ag-0,Kz-1,6897,6930,-4.1376394020618
Ag-0,Kz-13,6897,6830,-11.9663168376014
Ag-0,Kz-9,6897,6931,-11.5613471480539
Ag-0,Lc-0,6897,8323,-19.7964419305099
Ag-0,Ler-1,6897,6932,-9.17082001969183
Ag-0,Li-2:1,6897,7223,-21.6076619781138
Ag-0,Liarum,6897,8241,-21.8196367228586
Ag-0,Lillo-1,6897,8242,-3.8627350526402
Ag-0,Lip-0,6897,8325,-26.7018326048384
Ag-0,Lis-1,6897,8326,-12.0483803241948
Ag-0,Lis-2,6897,8222,-12.8447387729161
Ag-0,Lisse,6897,8430,-14.4391395438223
Ag-0,LL-0,6897,6933,-12.7622093239575
Ag-0,Lm-2,6897,8329,-3.88408738011349
Ag-0,Lom1-1,6897,6042,3.5719609520876
Ag-0,Lov-1,6897,6043,-9.69026406459425
Ag-0,Lov-5,6897,6046,-10.9805741690931
Ag-0,Lp2-2,6897,7520,-15.2745211854511
Ag-0,Lp2-6,6897,7521,-13.5449958443978
Ag-0,Lu-1,6897,8334,-7.52021826115995
Ag-0,Lund,6897,8335,-0.248527647514909
Ag-0,Lz-0,6897,6936,-11.3068506118734
Ag-0,Mir-0,6897,8337,-14.0653993660367
Ag-0,Mr-0,6897,7522,-7.38557521833674
Ag-0,Mrk-0,6897,6937,-8.35458297709254
Ag-0,Ms-0,6897,6938,-10.2512771114292
Ag-0,Mt-0,6897,6939,-9.62069742840744
Ag-0,Mz-0,6897,6940,-10.9934958375889
Ag-0,N13,6897,7438,-16.7945013267443
Ag-0,Na-1,6897,8343,-5.03316700092115
Ag-0,NC-6,6897,8246,-14.5515062124143
Ag-0,Nd-1,6897,6942,-20.8306078909441
Ag-0,NFA-10,6897,6943,-9.99572267043609
Ag-0,NFA-8,6897,6944,-5.71640608305146
Ag-0,No-0,6897,7275,-15.7925594238435
Ag-0,Nok-3,6897,6945,-11.2824298549405
Ag-0,Nw-0,6897,7258,-6.93024702401533
Ag-0,Or-1,6897,6074,-5.91378020402572
Ag-0,Ost-0,6897,8351,-3.22706240962119
Ag-0,Ove-0,6897,7287,-0.719834134122221
Ag-0,Oy-0,6897,6946,-20.3942957276168
Ag-0,Pa-1,6897,8353,-6.11288272068978
Ag-0,Per-1,6897,8354,-14.4116303962511
Ag-0,Petergof,6897,7296,-7.99801176225812
Ag-0,PHW-2,6897,8243,-8.37154428822977
Ag-0,PHW-34,6897,8244,-9.70357179991845
Ag-0,Pi-0,6897,7298,-11.6262609799146
Ag-0,Pla-0,6897,7300,-10.9298072759749
Ag-0,Pna-10,6897,7526,-15.2331738447717
Ag-0,Pna-17,6897,7523,-11.8421476569208
Ag-0,Pro-0,6897,8213,-12.5365806196867
Ag-0,Pu2-23,6897,6951,-11.8143375338515
Ag-0,Pu2-7,6897,6956,-15.3662952969772
Ag-0,Pu2-8,6897,6953,-8.64652291309407
Ag-0,Ra-0,6897,6958,-11.4035853002499
Ag-0,Rak-2,6897,8365,-17.5052059222256
Ag-0,Rd-0,6897,8366,-14.102994218814
Ag-0,Ren-1,6897,6959,-5.02159724577621
Ag-0,Ren-11,6897,6960,-10.8141176367569
Ag-0,Rev-1,6897,8369,2.74799896983028
Ag-0,Rmx-A02,6897,7524,-11.4260727052925
Ag-0,Rmx-A180,6897,7525,-5.22942475288759
Ag-0,RRS-10,6897,7515,-14.3251227761755
Ag-0,RRS-7,6897,7514,-11.9251060115868
Ag-0,Rsch-4,6897,8374,-8.4085086861601
Ag-0,Rubezhnoe-1,6897,7323,-19.334956262495
Ag-0,San-2,6897,8247,-5.10276321460091
Ag-0,Sanna-2,6897,8376,-7.454989638987
Ag-0,Sap-0,6897,8378,-15.4913394673241
Ag-0,Sav-0,6897,8412,-1.69463223699338
Ag-0,Se-0,6897,6961,-4.10239231955746
Ag-0,Seattle-0,6897,8245,-10.0713404690688
Ag-0,Sf-1,6897,7327,-2.54953592537737
Ag-0,Shahdara,6897,6962,-17.8816526577739
Ag-0,Sorbo,6897,6963,-13.3016936332863
Ag-0,Spr1-2,6897,6964,-13.1509179898216
Ag-0,Spr1-6,6897,6965,1.17565393484016
Ag-0,Sq-1,6897,6966,-7.44954438145874
Ag-0,Sq-8,6897,6967,-3.70239680476423
Ag-0,Sr:5,6897,8386,-8.45068971378406
Ag-0,St-0,6897,8387,-16.6537090627715
Ag-0,Stw-0,6897,8388,-2.71327273075912
Ag-0,Ta-0,6897,8389,-15.5748276162213
Ag-0,Tamm-2,6897,6968,-12.536601296984
Ag-0,Tamm-27,6897,6969,-11.9913489733146
Ag-0,Tottarp-2,6897,6243,-6.71022431599524
Ag-0,Ts-1,6897,6970,-10.6377412136118
Ag-0,Ts-5,6897,6971,-9.7934215400971
Ag-0,Tsu-0,6897,7373,-13.9562798876347
Ag-0,Tsu-1,6897,6972,-10.9672233259723
Ag-0,Tu-0,6897,8395,-14.1092083902464
Ag-0,Uk-3,6897,10022,-13.5933796855719
Ag-0,Ull1-1,6897,8426,-5.38491737881837
Ag-0,Ull2-5,6897,6974,-14.0817203684273
Ag-0,Uod-1,6897,6975,-5.70688014287438
Ag-0,Uod-7,6897,6976,-12.0162315580135
Ag-0,Van-0,6897,6977,-7.68557684318784
Ag-0,Var2-1,6897,7516,-5.6533516349281
Ag-0,Var2-6,6897,7517,5.15525720906738
Ag-0,Vastervik,6897,9058,-0.454044232116452
Ag-0,Vimmerby,6897,8249,-20.7293771490322
Ag-0,Vinslov,6897,9057,-6.78883996991925
Ag-0,Wa-1,6897,6978,-17.0433378007351
Ag-0,Wei-0,6897,6979,-9.54190864960362
Ag-0,Wil-1,6897,8419,-18.6925129237119
Ag-0,Wil-2,6897,7413,-15.5951629928761
Ag-0,Ws-0,6897,6980,-16.7675836965814
Ag-0,Ws-2,6897,6981,-11.7432775908812
Ag-0,Wt-5,6897,6982,-16.554539667845
Ag-0,Wu-0,6897,7415,-9.22052179187315
Ag-0,Yo-0,6897,6983,-11.8640340461916
Ag-0,Zdr-1,6897,6984,-17.648847932799
Ag-0,Zdr-6,6897,6985,-1.49127952808212
Ag-0,Zu-0,6897,7417,-9.9246598791102
Ag-0,Zu-1,6897,7418,-4.11511075875092
Ag-0,Er-0,6897,7125,-15.0194564183901
Ag-0,Fja1-1,6897,8422,-9.31017079795127
Ag-0,gl1-2,6897,2,-22.4578140297877
Ag-0,gl1-1,6897,1,-9.17082001969183
Ak-1,Ag-0,6987,6897,-21.1334378658749
Ak-1,Ak-1,6987,6987,0
Ak-1,Alc-0,6987,6988,-4.25592266711187
Ak-1,Algutsrum,6987,8230,-11.7429430502662
Ak-1,An-1,6987,6898,-8.44963078912722
Ak-1,Ang-0,6987,6992,-13.5406665273031
Ak-1,Ba1-2,6987,8256,-16.570729109328
Ak-1,Ba4-1,6987,8258,-18.8226033722972
Ak-1,Ba5-1,6987,8259,-21.6957719405183
Ak-1,Bay-0,6987,6899,-7.70987072058893
Ak-1,Bg-2,6987,6709,-18.6423765624297
Ak-1,Bil-5,6987,6900,-9.06752296493003
Ak-1,Bil-7,6987,6901,-8.30976388422063
Ak-1,Bla-1,6987,7015,-7.89483920784834
Ak-1,Bor-1,6987,5837,-10.973686211784
Ak-1,Bor-4,6987,6903,-11.4542216359993
Ak-1,Br-0,6987,6904,-17.050893698365
Ak-1,Bro1-6,6987,8231,-8.74602476959501
Ak-1,Bs-1,6987,8270,-12.3481304338453
Ak-1,Bu-0,6987,8271,-11.3819136131502
Ak-1,Buckhorn_Pass,6987,7033,-25.3421879711109
Ak-1,Bur-0,6987,5719,-21.1158666000299
Ak-1,C24,6987,6906,-17.8992552623106
Ak-1,Can-0,6987,8274,-11.3967481814111
Ak-1,Cen-0,6987,8275,-15.2564037087885
Ak-1,CIBC-17,6987,6907,-14.9488550142323
Ak-1,Co,6987,7081,-9.84803687266409
Ak-1,Col-0,6987,6909,-22.3273174961243
Ak-1,Ct-1,6987,6910,-19.8743362583505
Ak-1,Cvi-0,6987,6911,-13.937557519945
Ak-1,Dem-4,6987,8233,-24.7013484561702
Ak-1,Dra3-1,6987,8283,-9.71175872846083
Ak-1,DraII-1,6987,8284,-6.39186721909458
Ak-1,DraIII-1,6987,8285,-1.1590240184483
Ak-1,Duk,6987,6008,-1.34347349683883
Ak-1,Eden-1,6987,6009,-4.94474302398914
Ak-1,Eden-2,6987,6913,-8.70059503937166
Ak-1,Edi-0,6987,6914,-12.1202679993875
Ak-1,Eds-1,6987,6016,-1.08701456150319
Ak-1,Ei-2,6987,6915,-9.36778866275237
Ak-1,En-1,6987,8290,-19.5074807760468
Ak-1,Est-1,6987,6916,-8.08123575355589
Ak-1,Fab-2,6987,6917,-15.8082251699851
Ak-1,Fab-4,6987,6918,-12.5846697551088
Ak-1,Fei-0,6987,8215,-6.11509894275544
Ak-1,Fr-2,6987,7133,-14.2830464363518
Ak-1,Ga-0,6987,6919,-5.1911232018511
Ak-1,Gd-1,6987,8296,-13.9128081482447
Ak-1,Ge-0,6987,8297,-16.2078176849053
Ak-1,Got-22,6987,6920,-17.557235039222
Ak-1,Got-7,6987,6921,-16.929971459484
Ak-1,Gr-1,6987,8300,-0.173216073295075
Ak-1,Gu-0,6987,6922,-13.5537502456301
Ak-1,Gul1-2,6987,8234,-11.3439036805339
Ak-1,Gy-0,6987,8214,-11.0318186100779
Ak-1,H55,6987,7461,-7.86906148317455
Ak-1,Hi-0,6987,8304,-6.46996546097982
Ak-1,Hod,6987,8235,-12.4419310603816
Ak-1,Hov4-1,6987,8306,-8.05150347921347
Ak-1,Hovdala-2,6987,6039,-16.1503730471034
Ak-1,HR-10,6987,6923,-13.7361425773218
Ak-1,HR-5,6987,6924,-19.2135019927246
Ak-1,Hs-0,6987,8310,-0.904102958182179
Ak-1,HSm,6987,8236,-12.2743359643222
Ak-1,In-0,6987,8311,-5.45512059261329
Ak-1,Is-0,6987,8312,-16.0611215723594
Ak-1,Jm-0,6987,8313,-0.79633909660223
Ak-1,Ka-0,6987,8314,-18.9253449154251
Ak-1,Kas-2,6987,8424,-19.2604021574449
Ak-1,Kavlinge-1,6987,8237,-12.8964235930354
Ak-1,Kelsterbach-4,6987,8420,-19.1060890163622
Ak-1,Kent,6987,8238,-16.0026599535632
Ak-1,Kin-0,6987,6926,-14.1762297695313
Ak-1,Kn-0,6987,7186,-12.2590267958098
Ak-1,Kni-1,6987,6040,-8.0199778527398
Ak-1,Kno-10,6987,6927,-25.047747102135
Ak-1,Kno-18,6987,6928,-14.535526562967
Ak-1,Koln,6987,8239,-16.9942678702935
Ak-1,Kondara,6987,6929,-15.3098142720706
Ak-1,Kyoto,6987,7207,-12.211928367183
Ak-1,Kz-1,6987,6930,-11.1426331605714
Ak-1,Kz-13,6987,6830,-17.9083351912333
Ak-1,Kz-9,6987,6931,-13.0362629861841
Ak-1,Lc-0,6987,8323,-18.8756021820056
Ak-1,Ler-1,6987,6932,-16.9138426588507
Ak-1,Li-2:1,6987,7223,-14.2728324089249
Ak-1,Liarum,6987,8241,-21.11475912829
Ak-1,Lillo-1,6987,8242,-10.7644166323897
Ak-1,Lip-0,6987,8325,-11.2459077647842
Ak-1,Lis-1,6987,8326,-25.4134193987243
Ak-1,Lis-2,6987,8222,-3.68404599947771
Ak-1,Lisse,6987,8430,-16.7831809592854
Ak-1,LL-0,6987,6933,-0.699486544888966
Ak-1,Lm-2,6987,8329,-17.6798901116665
Ak-1,Lom1-1,6987,6042,-6.18549274754484
Ak-1,Lov-1,6987,6043,-10.1520048889106
Ak-1,Lov-5,6987,6046,-9.83444272361143
Ak-1,Lp2-2,6987,7520,-10.4277086537152
Ak-1,Lp2-6,6987,7521,-4.46442526862714
Ak-1,Lu-1,6987,8334,2.20267497677636
Ak-1,Lund,6987,8335,-14.1457604033418
Ak-1,Lz-0,6987,6936,-11.2238861943841
Ak-1,Mir-0,6987,8337,-8.54414152279702
Ak-1,Mr-0,6987,7522,-7.74751239640065
Ak-1,Mrk-0,6987,6937,-11.2954447773797
Ak-1,Ms-0,6987,6938,-9.58232825395052
Ak-1,Mt-0,6987,6939,-8.94987183527325
Ak-1,Mz-0,6987,6940,-12.7396389188861
Ak-1,N13,6987,7438,-25.1357986413488
Ak-1,Na-1,6987,8343,-14.1566370594426
Ak-1,NC-6,6987,8246,-24.8019631684227
Ak-1,Nd-1,6987,6942,-3.37873803219304
Ak-1,NFA-10,6987,6943,-20.9454806818722
Ak-1,NFA-8,6987,6944,-8.17848129583478
Ak-1,No-0,6987,7275,-1.69713028845212
Ak-1,Nok-3,6987,6945,-11.1163161166994
Ak-1,Nw-0,6987,7258,-9.95746735249596
Ak-1,Or-1,6987,6074,-18.0101416012003
Ak-1,Ost-0,6987,8351,-6.21656346036379
Ak-1,Ove-0,6987,7287,-14.5612896080675
Ak-1,Oy-0,6987,6946,-4.87729502444786
Ak-1,Pa-1,6987,8353,-14.6088900078876
Ak-1,Per-1,6987,8354,-15.6129265051923
Ak-1,Petergof,6987,7296,-8.27370161489576
Ak-1,PHW-2,6987,8243,-14.6395754000193
Ak-1,PHW-34,6987,8244,-11.5834659222085
Ak-1,Pi-0,6987,7298,-16.42348062412
Ak-1,Pla-0,6987,7300,-6.29860339339496
Ak-1,Pna-10,6987,7526,-25.4616301302017
Ak-1,Pna-17,6987,7523,-11.178504289941
Ak-1,Pro-0,6987,8213,-14.2415148089536
Ak-1,Pu2-23,6987,6951,-14.4809413141312
Ak-1,Pu2-7,6987,6956,-20.997803439239
Ak-1,Pu2-8,6987,6953,-10.1514626642277
Ak-1,Ra-0,6987,6958,-11.761533451485
Ak-1,Rak-2,6987,8365,-7.46819908019869
Ak-1,Rd-0,6987,8366,-6.48679756662488
Ak-1,Ren-1,6987,6959,-19.2825579704222
Ak-1,Ren-11,6987,6960,-13.0103265319084
Ak-1,Rev-1,6987,8369,-9.76386606707075
Ak-1,Rmx-A02,6987,7524,-24.5839520613508
Ak-1,Rmx-A180,6987,7525,-16.5584663616064
Ak-1,RRS-10,6987,7515,-24.7228593379477
Ak-1,RRS-7,6987,7514,-9.32823552543714
Ak-1,Rsch-4,6987,8374,-19.9444476140464
Ak-1,Rubezhnoe-1,6987,7323,-15.9551608964972
Ak-1,San-2,6987,8247,-8.65210813737513
Ak-1,Sanna-2,6987,8376,-5.81108964159577
Ak-1,Sap-0,6987,8378,-7.49226787001677
Ak-1,Sav-0,6987,8412,-5.83369823031429
Ak-1,Se-0,6987,6961,-7.85511040227352
Ak-1,Seattle-0,6987,8245,-10.8940339337012
Ak-1,Sf-1,6987,7327,-13.0359248331742
Ak-1,Shahdara,6987,6962,-22.8416214736895
Ak-1,Sorbo,6987,6963,-17.6447058148155
Ak-1,Spr1-2,6987,6964,-5.48743712428709
Ak-1,Spr1-6,6987,6965,-7.53340091431465
Ak-1,Sq-1,6987,6966,-12.7133797193789
Ak-1,Sq-8,6987,6967,-10.667760485176
Ak-1,Sr:5,6987,8386,-15.0572224137433
Ak-1,St-0,6987,8387,-16.8764104312722
Ak-1,Stw-0,6987,8388,-15.7146226187485
Ak-1,Ta-0,6987,8389,-7.8277245477373
Ak-1,Tamm-2,6987,6968,-8.28825552618605
Ak-1,Tamm-27,6987,6969,-7.14958793511953
Ak-1,Tottarp-2,6987,6243,-10.2998301115333
Ak-1,Ts-1,6987,6970,-3.91679941277184
Ak-1,Ts-5,6987,6971,-11.4497038878413
Ak-1,Tsu-0,6987,7373,-8.56381396578829
Ak-1,Tsu-1,6987,6972,-7.70167252775456
Ak-1,Tu-0,6987,8395,-7.0001742966236
Ak-1,Uk-3,6987,10022,-11.2498241596526
Ak-1,Ull1-1,6987,8426,-11.057506325846
Ak-1,Ull2-5,6987,6974,-9.68518246739461
Ak-1,Uod-1,6987,6975,-1.36757126299282
Ak-1,Uod-7,6987,6976,-6.64700615924267
Ak-1,Van-0,6987,6977,-4.94313065723254
Ak-1,Var2-1,6987,7516,-9.12487770449093
Ak-1,Var2-6,6987,7517,-6.52012577858265
Ak-1,Vastervik,6987,9058,-15.6155257034257
Ak-1,Vimmerby,6987,8249,-11.7089723059537
Ak-1,Vinslov,6987,9057,-11.7940025146222
Ak-1,Wa-1,6987,6978,-24.134164237374
Ak-1,Wei-0,6987,6979,-0.487820721416876
Ak-1,Wil-1,6987,8419,-10.9776963051689
Ak-1,Wil-2,6987,7413,-18.2210759444008
Ak-1,Ws-0,6987,6980,-7.65552539447311
Ak-1,Ws-2,6987,6981,-19.7560637139822
Ak-1,Wt-5,6987,6982,-15.3849310039184
Ak-1,Wu-0,6987,7415,-11.5447853637035
Ak-1,Yo-0,6987,6983,-15.3959611854583
Ak-1,Zdr-1,6987,6984,-5.13132985481898
Ak-1,Zdr-6,6987,6985,-13.5081866633022
Ak-1,Zu-0,6987,7417,-9.17955128903598
Ak-1,Zu-1,6987,7418,-4.73603827860804
Ak-1,Er-0,6987,7125,-9.08213695018824
Ak-1,Fja1-1,6987,8422,-28.5352513081478
Ak-1,gl1-2,6987,2,-22.3273174961243
Ak-1,gl1-1,6987,1,-16.9138426588507
Alc-0,Ag-0,6988,6897,-4.1591769944168
Alc-0,Ak-1,6988,6987,-4.25592266711187
Alc-0,Alc-0,6988,6988,0
Alc-0,Algutsrum,6988,8230,-3.39984756402523
Alc-0,An-1,6988,6898,-2.71812159925203
Alc-0,Ang-0,6988,6992,-14.4152628891748
Alc-0,Ba1-2,6988,8256,-9.02948571365031
Alc-0,Ba4-1,6988,8258,-4.59278695642303
Alc-0,Ba5-1,6988,8259,-4.1611673621226
Alc-0,Bay-0,6988,6899,-10.9385887495043
Alc-0,Bg-2,6988,6709,-2.4090258821332
Alc-0,Bil-5,6988,6900,7.3219634996779
Alc-0,Bil-7,6988,6901,7.19303417509094
Alc-0,Bla-1,6988,7015,1.55852146299223
Alc-0,Bor-1,6988,5837,-2.28547766129736
Alc-0,Bor-4,6988,6903,-2.03162161884758
Alc-0,Br-0,6988,6904,-5.11495695604744
Alc-0,Bro1-6,6988,8231,8.66335330719546
Alc-0,Bs-1,6988,8270,-1.53897617730642
Alc-0,Bu-0,6988,8271,-16.4621445460753
Alc-0,Buckhorn_Pass,6988,7033,2.4494945603425
Alc-0,Bur-0,6988,5719,-2.827069243346
Alc-0,C24,6988,6906,-10.8679046714012
Alc-0,Can-0,6988,8274,8.50181019498583
Alc-0,Cen-0,6988,8275,-8.93983743661787
Alc-0,CIBC-17,6988,6907,-4.25520835800254
Alc-0,Co,6988,7081,1.25078120267355
Alc-0,Col-0,6988,6909,-17.8167753996702
Alc-0,Ct-1,6988,6910,2.23407524501039
Alc-0,Cvi-0,6988,6911,4.4105948231571
Alc-0,Dem-4,6988,8233,0.853397090419184
Alc-0,Dra3-1,6988,8283,-11.1802891389948
Alc-0,DraII-1,6988,8284,1.84707599194214
Alc-0,DraIII-1,6988,8285,-4.95004148720346
Alc-0,Duk,6988,6008,-3.81194931829493
Alc-0,Eden-1,6988,6009,7.96366366277839
Alc-0,Eden-2,6988,6913,14.6468990148194
Alc-0,Edi-0,6988,6914,-10.1800649365986
Alc-0,Eds-1,6988,6016,0.422851426155326
Alc-0,Ei-2,6988,6915,-3.82927558829446
Alc-0,En-1,6988,8290,-0.194398747392675
Alc-0,Est-1,6988,6916,-4.35777617739881
Alc-0,Fab-2,6988,6917,0.492705633799954
Alc-0,Fab-4,6988,6918,2.20808922950419
Alc-0,Fei-0,6988,8215,-9.30370538264165
Alc-0,Fr-2,6988,7133,-0.666517257202779
Alc-0,Ga-0,6988,6919,-3.0795015726029
Alc-0,Gd-1,6988,8296,-1.49477650461182
Alc-0,Ge-0,6988,8297,-10.8434095311455
Alc-0,Got-22,6988,6920,0.814732489767506
Alc-0,Got-7,6988,6921,2.35926616489391
Alc-0,Gr-1,6988,8300,-2.53671393335672
Alc-0,Gu-0,6988,6922,-15.9757284069472
Alc-0,Gul1-2,6988,8234,-8.88961655001502
Alc-0,Gy-0,6988,8214,-2.60685830952178
Alc-0,H55,6988,7461,-8.25752239290297
Alc-0,Hi-0,6988,8304,-2.99956974336409
Alc-0,Hod,6988,8235,-10.5828278602685
Alc-0,Hov4-1,6988,8306,-2.87770439630919
Alc-0,Hovdala-2,6988,6039,-9.81595175017172
Alc-0,HR-10,6988,6923,-0.826936549101621
Alc-0,HR-5,6988,6924,-4.34029719759455
Alc-0,Hs-0,6988,8310,-6.53716072018433
Alc-0,HSm,6988,8236,-5.16875920480711
Alc-0,In-0,6988,8311,-0.318896323144429
Alc-0,Is-0,6988,8312,-3.96070364815097
Alc-0,Jm-0,6988,8313,-0.757577785488509
Alc-0,Ka-0,6988,8314,-8.21227441355885
Alc-0,Kas-2,6988,8424,-4.31279072483988
Alc-0,Kavlinge-1,6988,8237,-16.0176199783008
Alc-0,Kelsterbach-4,6988,8420,3.56105386467646
Alc-0,Kent,6988,8238,-6.54537893418568
Alc-0,Kin-0,6988,6926,-4.19389959299965
Alc-0,Kn-0,6988,7186,3.41589650118948
Alc-0,Kni-1,6988,6040,4.76868067911863
Alc-0,Kno-10,6988,6927,0.617776772511739
Alc-0,Kno-18,6988,6928,-3.72854650081385
Alc-0,Koln,6988,8239,-18.4528839891768
Alc-0,Kondara,6988,6929,5.34215999839279
Alc-0,Kyoto,6988,7207,0.191605393704153
Alc-0,Kz-1,6988,6930,2.99201947332283
Alc-0,Kz-13,6988,6830,-2.36791695507599
Alc-0,Kz-9,6988,6931,9.30500134378076
Alc-0,Lc-0,6988,8323,-16.5987439730625
Alc-0,Ler-1,6988,6932,0.24822263847854
Alc-0,Li-2:1,6988,7223,-13.6076165526712
Alc-0,Liarum,6988,8241,-21.3203294448529
Alc-0,Lillo-1,6988,8242,-11.3939158342439
Alc-0,Lip-0,6988,8325,-7.23447810157828
Alc-0,Lis-1,6988,8326,-12.8588097622493
Alc-0,Lis-2,6988,8222,-7.2144988195831
Alc-0,Lisse,6988,8430,-8.36506355332201
Alc-0,LL-0,6988,6933,-7.9879445000402
Alc-0,Lm-2,6988,8329,-6.18513097718288
Alc-0,Lom1-1,6988,6042,-2.5394728329729
Alc-0,Lov-1,6988,6043,1.56993761355113
Alc-0,Lov-5,6988,6046,0.282847286695036
Alc-0,Lp2-2,6988,7520,-14.5521313056037
Alc-0,Lp2-6,6988,7521,-5.06498308660621
Alc-0,Lu-1,6988,8334,-8.20978710685693
Alc-0,Lund,6988,8335,-0.653542300481099
Alc-0,Lz-0,6988,6936,-8.77512030525531
Alc-0,Mir-0,6988,8337,-11.9279349599294
Alc-0,Mr-0,6988,7522,3.06025566179449
Alc-0,Mrk-0,6988,6937,-2.8971254360433
Alc-0,Ms-0,6988,6938,-7.63194635438073
Alc-0,Mt-0,6988,6939,-11.5165734138489
Alc-0,Mz-0,6988,6940,-9.75458189613127
Alc-0,N13,6988,7438,-2.68189782511334
Alc-0,Na-1,6988,8343,-9.98333723102611
Alc-0,NC-6,6988,8246,2.11830866869011
Alc-0,Nd-1,6988,6942,-9.17177773643802
Alc-0,NFA-10,6988,6943,-5.90054988948401
Alc-0,NFA-8,6988,6944,-7.45237125305117
Alc-0,No-0,6988,7275,-4.59552807996914
Alc-0,Nok-3,6988,6945,-13.7357025450937
Alc-0,Nw-0,6988,7258,-5.84564623600454
Alc-0,Or-1,6988,6074,-14.0656233957787
Alc-0,Ost-0,6988,8351,0.419725388710365
Alc-0,Ove-0,6988,7287,-5.75994087896688
Alc-0,Oy-0,6988,6946,-12.8055045921294
Alc-0,Pa-1,6988,8353,-7.96030083077425
